dataset_version,direction,model,balance_method,best_chrf,eval_bleu,best_epoch,total_training_time_minutes
v1,agr2es,nllb-1.3B-distilled,none,34.6,14.87,5.0,422.51
v1,agr2es,nllb-1.3B-distilled,oversample,34.66,14.08,6.0,706.17
v1,agr2es,nllb-600M-distilled,none,31.73,11.95,13.0,311.26
v1,agr2es,nllb-600M-distilled,weighted,30.37,11.15,18.0,367.95
v1,es2agr,nllb-600M-distilled,none,34.72,6.66,18.0,485.37
v1,es2agr,nllb-600M-distilled,weighted,31.87,5.03,19.0,481.9
v2,agr2es,nllb-600M-distilled,none,32.21,12.21,13.0,375.23
v2,agr2es,nllb-600M-distilled,weighted,31.85,12.01,18.0,517.35
v2,es2agr,nllb-600M-distilled,none,34.72,6.62,17.0,623.63
v2,es2agr,nllb-600M-distilled,weighted,33.15,5.88,19.0,626.69
v3,agr2es,nllb-1.3B-distilled,none,34.55,13.91,5.0,1120.8
v3,agr2es,nllb-1.3B-distilled,oversample,35.03,14.0,5.0,1122.49
v3,agr2es,nllb-1.3B-distilled,weighted,34.05,13.8,11.0,1422.36
v3-top20,agr2es,nllb-1.3B-distilled,none,34.87,14.68,5.0,756.11
v3-top20,agr2es,nllb-1.3B-distilled,oversample,34.71,14.55,6.0,809.24
v3-top20,agr2es,nllb-1.3B-distilled,weighted,34.54,14.19,9.0,925.44
v3-top40,agr2es,nllb-1.3B-distilled,none,34.82,14.76,8.0,1005.34
v3-top40,agr2es,nllb-1.3B-distilled,oversample,35.27,14.54,9.0,1058.94
v3-top40,agr2es,nllb-1.3B-distilled,weighted,34.34,13.9,17.0,1302.05
v3-top60,agr2es,nllb-1.3B-distilled,none,34.77,14.21,6.0,1034.85
v3-top60,agr2es,nllb-1.3B-distilled,oversample,34.94,13.75,7.0,1081.44
v3-top60,agr2es,nllb-1.3B-distilled,weighted,34.2,14.11,11.0,1261.21
v3-top80,agr2es,nllb-1.3B-distilled,none,34.94,13.65,5.0,1033.44
v3-top80,agr2es,nllb-1.3B-distilled,oversample,34.67,14.77,4.0,984.41
v3-top80,agr2es,nllb-600M-distilled,weighted,31.54,11.4,19.0,1359.76
